Country Name;2016 [YR2016]
South Africa;336464320484.813
Spain;1289771494424.84
Sri Lanka;85316153829.6399
St. Kitts and Nevis;924579584.630431
St. Lucia;1705217012.06565
St. Vincent and the Grenadines;795676177.999378
Sudan;47072397102.7486
Suriname;3917330138.77433
Eswatini;3759665772.91948
Sweden;534380743172.318
Switzerland;697964612966.47
Syrian Arab Republic;14481686882.6268
Tajikistan;9656683965.39559
Tanzania;50244433860.4284
Thailand;393271083168.625
Timor-Leste;2122760848.64528
Togo;6258871779.19796
Tonga;451354806.255533
Trinidad and Tobago;24198103360.0298
Tunisia;45269741791.18
Turkiye;899915506338.435
Turkmenistan;38647183423.6521
Turks and Caicos Islands;1103943473.04062
Tuvalu;59563672.5203933
Uganda;31612983047.5886
Ukraine;100779533554.926
United Arab Emirates;412647618371.292
United Kingdom;2841567896378.05
United States;18456327233279.6
Uruguay;55711495298.0031
Uzbekistan;88829120450.3141
Vanuatu;808642308.155731
Venezuela, RB;113183379393.529
Viet Nam;240485782014.193
West Bank and Gaza;17032221491.36
Yemen, Rep.;31072960602.1034
Zambia;22389749581.9771
Zimbabwe;18111870262.9731
Afghanistan;560.0
Albania;4670.0
Algeria;4920.0
Angola;2910.0
Antigua and Barbuda;15080.0
Argentina;12130.0
Armenia;3690.0
Aruba;25560.0
Australia;54330.0
Austria;45980.0
Azerbaijan;4790.0
Bahamas, The;27820.0
Bahrain;22720.0
Bangladesh;1400.0
Barbados;19200.0
Belarus;5640.0
Belgium;43240.0
Belize;5640.0
Benin;1040.0
Bermuda;105430.0
Bhutan;2880.0
Bolivia;3000.0
Bosnia and Herzegovina;5070.0
Botswana;6060.0
Brazil;9050.0
Brunei Darussalam;32570.0
Bulgaria;7630.0
Burkina Faso;650.0
Cabo Verde;3580.0
Cambodia;1550.0
Cameroon;1470.0
Canada;43900.0
Cayman Islands;47830.0
Central African Republic;400.0
Chad;940.0
Chile;13310.0
China;8360.0
Colombia;6560.0
Comoros;1410.0
Congo, Dem. Rep.;460.0
Congo, Rep.;2260.0
Costa Rica;11170.0
Cote d'Ivoire;1880.0
Croatia;13080.0
Cuba;7530.0
Curacao;18260.0
Cyprus;24400.0
Czechia;17660.0
Denmark;57830.0
Djibouti;2370.0
Dominica;8000.0
Dominican Republic;6750.0
Ecuador;5750.0
Egypt, Arab Rep.;3200.0
El Salvador;3600.0
Equatorial Guinea;6660.0
Estonia;18640.0
Ethiopia;620.0
Faroe Islands;57410.0
Fiji;5010.0
Finland;45160.0
France;39020.0
French Polynesia;22170.0
Gabon;6770.0
Gambia, The;590.0
Georgia;4180.0
Germany;45340.0
Ghana;1760.0
Greece;18500.0
Grenada;8000.0
Guatemala;3760.0
Guinea;760.0
Guinea-Bissau;670.0
Guyana;5610.0
Haiti;1380.0
Honduras;2090.0
Hong Kong SAR, China;42970.0
Hungary;13230.0
Iceland;58410.0
India;1670.0
Indonesia;3370.0
Iran, Islamic Rep.;5530.0
Iraq;5060.0
Ireland;52880.0
Isle of Man;78690.0
Israel;37310.0
Italy;32400.0
