Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"Population, total",SP.POP.TOTL,United States,USA,324353340
"Population, total",SP.POP.TOTL,Uruguay,URY,3379283
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,31284568
"Population, total",SP.POP.TOTL,Vanuatu,VUT,272087
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30765720
"Population, total",SP.POP.TOTL,Viet Nam,VNM,94000117
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107516
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4367088
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,32109010
"Population, total",SP.POP.TOTL,Zambia,ZMB,16914423
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14600294
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.53571991833963
Population growth (annual %),SP.POP.GROW,Albania,ALB,-1.54313470861992
Population growth (annual %),SP.POP.GROW,Algeria,DZA,2.05569111181654
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.20431808595042
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.00969831319383994
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.57644143982026
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.624381829779871
Population growth (annual %),SP.POP.GROW,Argentina,ARG,0.968911125580978
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.410212518071397
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.75796755862231
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.56194049810399
Population growth (annual %),SP.POP.GROW,Austria,AUT,1.08139629872802
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.11785721013911
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.700545015838571
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,3.82316300255316
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,0.892432416039535
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.217691837314076
Population growth (annual %),SP.POP.GROW,Belarus,BLR,0.0877210878706449
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.506300002451376
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.32231207163985
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.92460216679542
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.0236382404794606
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,0.973884473914115
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.48970583998181
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.30267774814121
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.41970172619868
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.761972670496742
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,-1.8135515178247
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.25964272152269
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-1.29824041616821
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.92508251378454
Population growth (annual %),SP.POP.GROW,Burundi,BDI,1.72186004024144
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,0.0312210963482392
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.45860767566845
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.98933225067819
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.13153974027004
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2.33773131582921
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,1.80553237158984
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.13868697646131
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.262115340226344
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.2094154366484
Population growth (annual %),SP.POP.GROW,China,CHN,0.573050906069647
Population growth (annual %),SP.POP.GROW,Colombia,COL,0.990548549326914
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.05111578193354
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.54100823238224
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.42169941927317
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,1.01105286688192
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.90076810314127
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-1.08634598144505
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.0838750367097098
Population growth (annual %),SP.POP.GROW,Curacao,CUW,1.06031644056836
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,1.43370522557944
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.192048415842684
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.780392644135167
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.68519891610854
Population growth (annual %),SP.POP.GROW,Dominica,DMA,-1.14845280097172
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.11122425240832
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.45809147770557
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2.03468294927084
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.276539934558171
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.66421838047825
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,0.614809318134095
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.0291122255540077
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.70788250761242
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,1.14881858822938
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.0639915048086223
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.287421401687637
Population growth (annual %),SP.POP.GROW,France,FRA,0.263868788565368
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.471058812613167
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.86485541015556
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.62819405087404
Population growth (annual %),SP.POP.GROW,Georgia,GEO,0.0598165991047394
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.807218538573871
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.27621203911157
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,1.39117589725216
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.415913028277122
Population growth (annual %),SP.POP.GROW,Greenland,GRL,0.128227978389047
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.39511639438688
Population growth (annual %),SP.POP.GROW,Guam,GUM,-0.408339926567039
